Datetaken,Longitude,Latitude,City,year
2011-05-10 19:30:06,-74.086303,4.633916,bogota,2011
2011-04-15 15:19:30,-74.086614,4.63413,bogota,2011
2011-06-26 11:58:06,-74.075413,4.597792,bogota,2011
2011-08-08 11:21:21,-74.075767,4.597936,bogota,2011
2011-07-19 14:39:04,-74.075862,4.5973690000000005,bogota,2011
2011-05-01 12:55:31,-74.075746,4.597428,bogota,2011
2011-05-10 06:24:56,-74.075317,4.5978129999999995,bogota,2011
2011-03-15 16:00:00,-74.07030400000001,4.599969000000001,bogota,2011
2011-07-26 16:39:34,-74.087333,4.652908,bogota,2011
2011-05-20 16:56:37,-74.05720699999999,4.648203,bogota,2011
2011-08-18 18:32:13,-74.086303,4.65479,bogota,2011
2011-02-07 06:13:50,-74.07433,4.601043,bogota,2011
2011-10-05 20:58:30,-74.05562900000001,4.651775,bogota,2011
2011-05-20 14:56:04,-74.09111,4.6238209999999995,bogota,2011
2011-11-06 14:38:20,-74.082183,4.624186,bogota,2011
2011-10-12 11:54:00,-74.072098,4.605706,bogota,2011
2011-05-01 11:53:16,-74.07159399999999,4.605347,bogota,2011
2011-10-12 11:36:33,-74.069523,4.603096,bogota,2011
2011-09-23 15:35:58,-74.069137,4.602776,bogota,2011
2011-06-09 16:47:51,-74.073396,4.596776,bogota,2011
2011-06-26 11:51:02,-74.073493,4.596813,bogota,2011
2011-08-11 10:29:40,-74.073246,4.596669,bogota,2011
2011-09-24 12:01:26,-74.091796,4.632205,bogota,2011
2011-05-15 15:24:00,-74.085617,4.631863,bogota,2011
2011-03-18 18:34:09,-74.093492,4.575767,bogota,2011
2011-04-17 03:02:38,-74.062673,4.697356,bogota,2011
2011-10-19 10:50:54,-74.087462,4.636943,bogota,2011
2011-10-06 12:42:42,-74.077325,4.65028,bogota,2011
2011-05-19 11:29:51,-74.070335,4.597239,bogota,2011
2011-06-30 21:36:12,-74.069716,4.59746,bogota,2011
2011-05-30 05:43:38,-74.06989899999999,4.5977440000000005,bogota,2011
2011-06-27 14:17:54,-74.06979799999999,4.597238,bogota,2011
2011-09-25 15:12:18,-74.070296,4.597321,bogota,2011
2011-10-09 13:25:41,-74.069824,4.653079,bogota,2011
2011-10-08 18:17:46,-74.05205,4.667681,bogota,2011
2011-11-27 17:14:14,-74.069974,4.607609,bogota,2011
2011-11-27 17:07:04,-74.069917,4.607394,bogota,2011
2011-06-27 12:51:07,-74.069273,4.600097,bogota,2011
2011-01-27 19:03:23,-74.053539,4.6669089999999995,bogota,2011
2011-01-01 16:34:54,-74.053403,4.66678,bogota,2011
2011-08-14 21:56:48,-74.05402,4.667483,bogota,2011
2011-02-05 11:12:34,-74.081153,4.606027,bogota,2011
2011-12-27 19:20:07,-74.06616700000001,4.6025,bogota,2011
2011-06-17 16:22:19,-74.08405,4.6375839999999995,bogota,2011
2011-06-26 22:51:23,-74.061026,4.603107,bogota,2011
2011-09-08 08:49:31,-74.060833,4.603075,bogota,2011
2011-03-25 20:55:51,-74.060898,4.5941,bogota,2011
2011-09-18 19:27:54,-74.060898,4.5941,bogota,2011
2011-07-10 21:20:43,-74.060898,4.5941,bogota,2011
2011-04-28 18:00:19,-74.060898,4.5941,bogota,2011
2011-10-21 14:00:07,-74.060898,4.5941,bogota,2011
2011-11-21 16:04:54,-74.060898,4.5941,bogota,2011
2011-06-02 01:04:50,-74.060898,4.5941,bogota,2011
2011-05-22 15:09:46,-74.060898,4.5941,bogota,2011
2011-06-26 15:25:55,-74.071304,4.600647,bogota,2011
2011-11-19 15:02:31,-74.066222,4.645251999999999,bogota,2011
2011-05-31 15:05:30,-74.071587,4.604958,bogota,2011
2011-02-05 14:22:29,-74.047036,4.678058999999999,bogota,2011
2011-06-28 15:35:58,-74.06828399999999,4.613102,bogota,2011
2011-01-14 16:45:11,-74.067807,4.612849,bogota,2011
2011-11-21 10:56:05,-74.06817099999999,4.61316,bogota,2011
2011-06-26 13:36:24,-74.068161,4.613181,bogota,2011
2011-10-11 07:53:45,-74.068279,4.612539,bogota,2011
2011-06-12 13:16:50,-74.048,4.6765,bogota,2011
2011-06-17 18:03:38,-74.048645,4.675813,bogota,2011
2011-08-04 19:05:51,-74.048023,4.675835,bogota,2011
2011-05-27 01:18:40,-74.04803299999999,4.676659,bogota,2011
2011-05-25 16:52:18,-74.092826,4.627586,bogota,2011
2011-05-01 13:01:14,-74.075102,4.597043,bogota,2011
2011-07-19 14:36:40,-74.075062,4.596786,bogota,2011
2011-06-05 09:17:40,-74.07300000000001,4.602166,bogota,2011
2011-08-09 08:58:24,-74.072474,4.601925,bogota,2011
2011-10-12 21:13:20,-74.073144,4.601637,bogota,2011
2011-07-01 22:37:39,-74.096946,4.635799,bogota,2011
2011-10-08 12:19:30,-74.090187,4.629773,bogota,2011
2011-05-20 13:41:50,-74.09008,4.6300669999999995,bogota,2011
2011-11-07 15:51:43,-74.089865,4.629719000000001,bogota,2011
2011-07-31 18:24:10,-74.09008,4.6304940000000006,bogota,2011
2011-06-22 08:15:54,-74.09490799999999,4.636675,bogota,2011
2011-12-06 18:11:32,-74.053196,4.666248,bogota,2011
2011-04-05 07:15:12,-74.052621,4.66638,bogota,2011
2011-06-05 16:52:13,-74.068322,4.604679,bogota,2011
2011-06-22 14:59:55,-74.069824,4.599268,bogota,2011
2011-02-24 10:14:56,-74.065167,4.603,bogota,2011
2011-10-12 11:25:02,-74.065403,4.602979,bogota,2011
2011-05-30 13:04:09,-74.084039,4.636686,bogota,2011
2011-11-19 16:39:20,-74.07448000000001,4.594969,bogota,2011
2011-03-19 12:23:44,-74.029738,4.711922,bogota,2011
2011-05-14 06:12:03,-74.066905,4.692753,bogota,2011
